DateTime,AddedIPs,RemovedIPs
1605060377,11,1
1605063976,2,3
1605067567,1,3
1605071169,1,1
1605074774,0,1
1605078366,2,3
1605081969,2,3
1605085567,6,2
1605089177,5,1
1605092769,5,2
1605096375,1,3
1605099979,9,2
1605103572,2,2
1605107179,1,12
1605110779,0,1
1605114372,5,11
1605117973,1,2
1605121581,0,3
1605125180,7,1
1605128771,1,24
1605132377,0,58
1605135968,0,45
1605139569,1,59
1605143168,0,63
1605146767,1,67
1605150355,2,65
1605153952,0,68
1605157547,1,77
1605161142,1,89
1605164738,1,97
1605168332,5,120
1605171925,0,122
1605175523,3,159
1605179110,1,160
1605182703,0,245
1605186289,3,253
1605189863,1,460
1605193398,0,1269
1605196960,2,782
1605200564,0,3
1605204165,1,5
1605207762,1,17
1605211345,0,279
1605214906,0,774
1605218506,1,1
1605222108,0,2
1605225708,2,0
1605240106,1,1
1605247305,2,2
1605250908,2,2
1605254509,2,3
1605258105,0,1
1605261706,1,2
1605265305,1,11
1605268907,0,3
1605272505,0,1
1605276105,0,1
1605279707,1,1
1605283310,4,1
1605290508,2,1
1605294108,2,5
1605297706,1,1
1605301306,1,1
1605308508,1,1
1605315706,1,1
1605319308,1,1
1605322908,1,3
1605326509,1,4
1605333708,0,1
1605337307,0,1
1605340909,4,1
1605344506,1,3
1605348107,0,1
1605351707,2,1
1605355309,4,1
1605358909,3,1
1605362509,0,4
1605366110,1,0
1605369706,1,3
1605373306,0,4
1605376909,0,1
1605380507,2,1
1605384106,2,12
1605387706,1,4
1605391307,1,8
1605394906,0,9
1605398506,4,3
1605402108,1,2
1605405707,4,0
1605409309,5,1
1605412906,3,2
1605416509,6,0
1605420109,7,2
1605423706,8,4
1605427308,9,1
1605430907,4,5
1605434509,3,4
1605438108,7,3
1605441709,6,1
1605445310,1,12
1605448909,0,7
1605452509,1,3
1605456107,0,3
1605459710,0,1
1605463309,1,3
1605466907,2,1
1605470508,2,0
1605474108,1,2
1605477710,2,1
1605481310,0,3
1605484904,1,67
1605488506,1,1
1605492105,1,1
1605495706,1,2
1605499301,2,92
1605502898,2,51
1605506499,2,3
1605510099,0,2
1605513699,0,2
1605517299,1,2
1605520898,1,0
1605524499,1,8
1605528100,1,0
1605531701,22,0
1605535298,3,2
1605538901,5,4
1605542503,8,3
1605546103,2,1
1605549700,5,3
1605553304,0,2
1605556899,2,0
1605560500,1,2
1605564102,1,0
1605567701,8,5
1605571302,2,7
1605574902,2,2
1605578501,6,2
1605582099,1,2
1605585702,5,2
1605589300,9,0
1605592902,4,2
1605600100,9,2
1605603704,5,0
1605607302,0,2
1605610901,0,2
1605614502,6,1
1605618104,1,3
1605621704,3,4
1605625303,1,3
1605628904,12,2
1605632505,15,4
1605636104,20,2
1605639706,1,5
1605643303,2,7
1605646903,0,2
1605650505,1,7
1605654105,1,24
1605657698,3,139
1605661290,0,106
1605664888,3,40
1605668489,6,2
1605672089,14,0
1605675690,21,1
1605679293,17,0
1605682893,13,0
1605686493,2,2
1605690094,1,3
1605693693,1,5
1605697294,4,0
1605700894,1,2
1605704494,1,4
1605708095,2,1
1605711692,1,2
1605715296,2,4
1605718896,4,3
1605722495,9,2
1605726098,1,2
1605729693,7,6
1605733293,2,0
1605736895,7,0
1605740496,1,1
1605744095,3,0
1605747696,2,0
1605751293,2,1
1605754894,3,1
1605758496,0,1
1605762095,3,1
1605765694,3,0
1605769297,2,2
1605772893,2,10
1605776494,4,0
1605780096,1,0
1605783694,11,1
1605787296,16,0
1605790896,6,2
1605794499,12,1
1605798099,31,1
1605801701,12,2
1605805299,1,1
1605808902,2,0
1605816102,0,2
1605819701,4,1
1605823321,13,3
1605826901,1,0
1605830501,0,1
1605834103,1,0
1605844904,1,1
1605848499,1,5
1605852103,11,3
1605855703,0,1
1605859302,2,1
1605862901,0,2
1605866504,3,0
1605870103,7,0
1605873702,1,1
1605877304,3,0
1605880906,3,0
1605884503,1,2
1605888105,5,4
1605891704,3,2
1605895305,10,3
1605898907,8,2
1605902504,5,0
1605906103,0,1
1605909704,1,0
1605913304,0,4
1605920505,0,1
1605924105,1,1
1605927706,0,1
1605931305,0,1
1605938506,0,1
1605942106,2,2
1605945706,2,11
1605949306,9,0
1605952905,1,1
1605956507,2,3
1605960106,0,1
1605963709,8,3
1605967306,2,0
1605970909,1,1
1605974510,0,2
1605978112,1,0
1605981708,1,0
1605985312,1,0
1605988908,0,2
1605992507,2,1
1605996107,1,0
1605999708,0,1
1606003305,1,1
1606006914,116,4
1606010524,246,1
1606014138,220,0
1606017747,177,0
1606021353,199,1
1606024967,165,4
